event_id,order_id,customer_id,event_type,event_timestamp,customer_name,customer_email,customer_city,customer_state,payment_value,lifecycle_step
0d85524a-033d-4d7b-b966-057753ae2bb5,2fb5c426-dc47-4eab-a966-5d78eb8f7d45,5b542194-05e9-4c6a-932b-755397ce658a,order_created,2025-11-05 21:10:58.201676 UTC,Ana Vitória Freitas,mpinto@example.com,Porto dos Dourados,MG,,1
2767f156-4e3b-4faf-af77-99a27b1b9b9f,2fb5c426-dc47-4eab-a966-5d78eb8f7d45,5b542194-05e9-4c6a-932b-755397ce658a,order_paid,2025-11-05 23:10:58.201676 UTC,Ana Sophia Teixeira,camargodavi@example.com,Rodrigues,MG,213.78,2
f641f1ae-3c5a-47d3-a91d-9119df3bfbf3,2fb5c426-dc47-4eab-a966-5d78eb8f7d45,5b542194-05e9-4c6a-932b-755397ce658a,order_shipped,2025-11-06 09:10:58.201676 UTC,Laura Teixeira,emillycostela@example.com,Farias de da Rocha,MG,,3
c7288eb2-62af-455f-a718-154441370b23,2fb5c426-dc47-4eab-a966-5d78eb8f7d45,5b542194-05e9-4c6a-932b-755397ce658a,order_delivered,2025-11-07 21:10:58.201676 UTC,Rhavi Farias,levi93@example.net,Alves,MG,,4
c8f13a28-cf21-4247-aa79-4f9bff4f194f,8832fffb-155f-425b-bf32-7672773a9f17,dafc98be-1a71-4812-86b0-8c27f7bd10d5,order_created,2025-11-05 23:10:58.201676 UTC,Evelyn Aragão,jesusluiz-fernando@example.net,da Mata,RS,,1
15b9817b-9ee4-40c0-bc45-05c505021436,8832fffb-155f-425b-bf32-7672773a9f17,dafc98be-1a71-4812-86b0-8c27f7bd10d5,order_paid,2025-11-06 01:10:58.201676 UTC,Davi Teixeira,evasconcelos@example.com,da Paz,RS,70.57,2
cf21bb82-d123-48ba-9ef6-d1e1340f6755,8832fffb-155f-425b-bf32-7672773a9f17,dafc98be-1a71-4812-86b0-8c27f7bd10d5,order_shipped,2025-11-06 11:10:58.201676 UTC,Mariane da Mota,urezende@example.net,Rios,RS,,3
87dedbd9-3b1e-4fb4-b131-8a76ddc35537,8832fffb-155f-425b-bf32-7672773a9f17,dafc98be-1a71-4812-86b0-8c27f7bd10d5,order_delivered,2025-11-07 23:10:58.201676 UTC,Thales Fonseca,albuquerquecamila@example.com,da Mota,RS,,4
f277591a-a4f1-456b-80bd-88b7c1daa07b,9a656df8-1ca5-4ad0-b5a1-b9449ed3e99a,64cc101c-2360-44a3-bde6-5c20378e7c67,order_created,2025-11-05 01:10:58.201676 UTC,Dr. Mateus Costa,pietromartins@example.org,Montenegro,MG,,1
67dc698f-c7ad-45ef-9e3c-fe3d37e7844f,9a656df8-1ca5-4ad0-b5a1-b9449ed3e99a,64cc101c-2360-44a3-bde6-5c20378e7c67,order_paid,2025-11-05 03:10:58.201676 UTC,Srta. Júlia Almeida,goncalvesisadora@example.org,Cavalcante,MG,95.56,2
